setup,env,spl,noOfTrials,dcVoltage,dcCurrent,dcPower
A,Ind.,60 dB,Round 1,0.0,0.0,0.0
A,Ind.,60 dB,Round 2,0.0,0.0,0.0
A,Ind.,60 dB,Round 3,0.0,0.0,0.0
A,Ind.,70 dB,Round 1,0.0,0.0,0.0
A,Ind.,70 dB,Round 2,0.0,0.0,0.0
A,Ind.,70 dB,Round 3,0.0,0.0,0.0
A,Ind.,80 dB,Round 1,0.003,3e-05,9e-08
A,Ind.,80 dB,Round 2,0.001,1e-05,1e-08
A,Ind.,80 dB,Round 3,0.001,1e-05,1e-08
A,Ind.,90 dB,Round 1,0.029,0.00029,8.41e-06
A,Ind.,90 dB,Round 2,0.047,0.00047,2.209e-05
A,Ind.,90 dB,Round 3,0.05,0.0005,2.5e-05
A,Ind.,100 dB,Round 1,1.132,0.01132,0.01281424
A,Ind.,100 dB,Round 2,1.099,0.01099,0.01207801
A,Ind.,100 dB,Round 3,1.049,0.01049,0.01100401
A,Traf.,60 dB,Round 1,0.0,0.0,0.0
A,Traf.,60 dB,Round 2,0.0,0.0,0.0
A,Traf.,60 dB,Round 3,0.0,0.0,0.0
A,Traf.,70 dB,Round 1,0.0,0.0,0.0
A,Traf.,70 dB,Round 2,0.0,0.0,0.0
A,Traf.,70 dB,Round 3,0.0,0.0,0.0
A,Traf.,80 dB,Round 1,0.001,1e-05,1e-08
A,Traf.,80 dB,Round 2,0.001,1e-05,1e-08
A,Traf.,80 dB,Round 3,0.001,1e-05,1e-08
A,Traf.,90 dB,Round 1,0.002,2e-05,4e-08
A,Traf.,90 dB,Round 2,0.002,2e-05,4e-08
A,Traf.,90 dB,Round 3,0.002,2e-05,4e-08
A,Traf.,100 dB,Round 1,0.082,0.00082,6.274e-05
A,Traf.,100 dB,Round 2,0.064,0.00064,4.096e-05
A,Traf.,100 dB,Round 3,0.064,0.00064,4.096e-05
A,Comm.,60 dB,Round 1,0.0,0.0,0.0
A,Comm.,60 dB,Round 2,0.0,0.0,0.0
A,Comm.,60 dB,Round 3,0.0,0.0,0.0
A,Comm.,70 dB,Round 1,0.0,0.0,0.0
A,Comm.,70 dB,Round 2,0.0,0.0,0.0
A,Comm.,70 dB,Round 3,0.0,0.0,0.0
A,Comm.,80 dB,Round 1,0.001,1e-05,1e-08
A,Comm.,80 dB,Round 2,0.001,1e-05,1e-08
A,Comm.,80 dB,Round 3,0.002,2e-05,4e-08
A,Comm.,90 dB,Round 1,0.002,2e-05,4e-08
A,Comm.,90 dB,Round 2,0.002,2e-05,4e-08
A,Comm.,90 dB,Round 3,0.003,3e-05,9e-08
A,Comm.,100 dB,Round 1,0.203,0.00203,0.00041209
A,Comm.,100 dB,Round 2,0.192,0.00192,0.00036864
A,Comm.,100 dB,Round 3,0.192,0.00192,0.00036864
B,Ind.,60 dB,Round 1,0.0,0.0,0.0
B,Ind.,60 dB,Round 2,0.0,0.0,0.0
B,Ind.,60 dB,Round 3,0.0,0.0,0.0
B,Ind.,70 dB,Round 1,0.0,0.0,0.0
B,Ind.,70 dB,Round 2,0.0,0.0,0.0
B,Ind.,70 dB,Round 3,0.0,0.0,0.0
B,Ind.,80 dB,Round 1,0.0,0.0,0.0
B,Ind.,80 dB,Round 2,0.0,0.0,0.0
B,Ind.,80 dB,Round 3,0.0,0.0,0.0
B,Ind.,90 dB,Round 1,0.0,0.0,0.0
B,Ind.,90 dB,Round 2,0.0,0.0,0.0
B,Ind.,90 dB,Round 3,0.0,0.0,0.0
B,Ind.,100 dB,Round 1,0.0,0.0,0.0
B,Ind.,100 dB,Round 2,0.0,0.0,0.0
B,Ind.,100 dB,Round 3,0.0,0.0,0.0
B,Traf.,60 dB,Round 1,0.0,0.0,0.0
B,Traf.,60 dB,Round 2,0.0,0.0,0.0
B,Traf.,60 dB,Round 3,0.0,0.0,0.0
B,Traf.,70 dB,Round 1,0.0,0.0,0.0
B,Traf.,70 dB,Round 2,0.0,0.0,0.0
B,Traf.,70 dB,Round 3,0.0,0.0,0.0
B,Traf.,80 dB,Round 1,0.0,0.0,0.0
B,Traf.,80 dB,Round 2,0.0,0.0,0.0
B,Traf.,80 dB,Round 3,0.0,0.0,0.0
B,Traf.,90 dB,Round 1,0.0,0.0,0.0
B,Traf.,90 dB,Round 2,0.0,0.0,0.0
B,Traf.,90 dB,Round 3,0.0,0.0,0.0
B,Traf.,100 dB,Round 1,0.0,0.0,0.0
B,Traf.,100 dB,Round 2,0.0,0.0,0.0
B,Traf.,100 dB,Round 3,0.0,0.0,0.0
B,Comm.,60 dB,Round 1,0.0,0.0,0.0
B,Comm.,60 dB,Round 2,0.0,0.0,0.0
B,Comm.,60 dB,Round 3,0.0,0.0,0.0
B,Comm.,70 dB,Round 1,0.0,0.0,0.0
B,Comm.,70 dB,Round 2,0.0,0.0,0.0
B,Comm.,70 dB,Round 3,0.0,0.0,0.0
B,Comm.,80 dB,Round 1,0.0,0.0,0.0
B,Comm.,80 dB,Round 2,0.0,0.0,0.0
B,Comm.,80 dB,Round 3,0.0,0.0,0.0
B,Comm.,90 dB,Round 1,0.0,0.0,0.0
B,Comm.,90 dB,Round 2,0.0,0.0,0.0
B,Comm.,90 dB,Round 3,0.0,0.0,0.0
B,Comm.,100 dB,Round 1,0.0,0.0,0.0
B,Comm.,100 dB,Round 2,0.0,0.0,0.0
B,Comm.,100 dB,Round 3,0.0,0.0,0.0
