Model,AIC,BIC,LLF,PseudoR2,Dispersion,RMSE,MAE,R2,CV_RMSE,CV_MAE,CV_R2,Rank
Tweedie_1.5,-inf,-368.9692430789259,inf,0.9986553713863903,0.00021234588186494857,0.00013587102080779565,2.223716518679428e-05,0.9960080353204881,0.00013868850923179287,3.367897994639543e-05,0.9895604530496419,8.0
Tweedie_1.4,-inf,-368.98047187734335,inf,0.999202943224371,5.8145908701532525e-05,0.00013581423003533475,2.2367310392972993e-05,0.9960113717108013,0.00013888804480599088,3.37202032495005e-05,0.9902673543883715,9.0
Tweedie_1.3,-inf,-368.98308380278706,inf,0.9994116010214427,1.8237644866244048e-05,0.0001357869868290229,2.247446514505916e-05,0.996012971721712,0.00013906833220971065,3.375709695429474e-05,0.9905879311741881,10.0
Gaussian_Log,-1331.020800199849,-368.98439130786795,673.5104000999245,0.9960134901361227,2.0234314067380814e-08,0.00013577815867252922,2.2576598893454735e-05,0.9960134901361227,0.0001392188537496396,3.37705728516127e-05,0.9908737880843667,11.0
Tweedie_1.2,-inf,-368.9838352451024,inf,0.9994613965567204,7.154060905526252e-06,0.00013578001370838382,2.2532082309660915e-05,0.9960133812059484,0.00013915374807797878,3.377418545257138e-05,0.990742993748216,12.0
Tweedie_1.1,-inf,-368.98410858512347,inf,0.9994240687068847,3.492223289183118e-06,0.0001357785553348881,2.255894942003434e-05,0.9960134668437062,0.00013918903288656946,3.3779998090238296e-05,0.9908189972058443,13.0
Tweedie_1.6,-inf,-368.910189790811,inf,0.9972542690059729,0.0008180643227627809,0.0001358270482309214,2.2553378236312485e-05,0.9960106187789441,0.00014372992757681505,3.4887417392899764e-05,0.9877755642125609,21.0
Tweedie_1.7,-560.9483985500062,-368.50856223188674,288.4741992750031,0.9931321657305461,0.003324379518671527,0.00014007186204145625,2.545717463175884e-05,0.995757373333048,0.0001664562932969697,4.026302124196804e-05,0.9819770209810498,24.0
Tweedie_1.8,-428.02843407733076,-364.4612734450083,222.01421703866538,0.9772343552414133,0.016821779525077622,0.00023016924836461938,3.849943965354616e-05,0.9885441422454793,0.0001998456294838696,4.926687704099467e-05,0.9524075881445879,27.0
Tweedie_1.9,-108.85179663200778,-285.8225178277769,62.42589831600389,0.8876211210959103,0.14728620095875855,0.0007611735661787095,0.00014609215226127987,0.874714615812898,0.0006413037881995814,0.00015698563076580575,0.8201494672376898,30.0
Gaussian_Identity,-860.2000288988463,-368.98408131504914,438.10001444942316,0.25120925538358696,3.8006345436658527e-06,0.0018608601134976982,0.0010095765925925918,0.25120925538358696,0.0019720719215442343,0.0011513849878125111,-113.18373822905463,33.0
