            Model          AIC         BIC        LLF  PseudoR2   Dispersion     RMSE      MAE       R2  CV_RMSE   CV_MAE       CV_R2  Rank
      Tweedie_1.5         -inf -368.969243        inf  0.998655 2.123459e-04 0.000136 0.000022 0.996008 0.000139 0.000034    0.989560   8.0
      Tweedie_1.4         -inf -368.980472        inf  0.999203 5.814591e-05 0.000136 0.000022 0.996011 0.000139 0.000034    0.990267   9.0
      Tweedie_1.3         -inf -368.983084        inf  0.999412 1.823764e-05 0.000136 0.000022 0.996013 0.000139 0.000034    0.990588  10.0
     Gaussian_Log -1331.020800 -368.984391 673.510400  0.996013 2.023431e-08 0.000136 0.000023 0.996013 0.000139 0.000034    0.990874  11.0
      Tweedie_1.2         -inf -368.983835        inf  0.999461 7.154061e-06 0.000136 0.000023 0.996013 0.000139 0.000034    0.990743  12.0
      Tweedie_1.1         -inf -368.984109        inf  0.999424 3.492223e-06 0.000136 0.000023 0.996013 0.000139 0.000034    0.990819  13.0
      Tweedie_1.6         -inf -368.910190        inf  0.997254 8.180643e-04 0.000136 0.000023 0.996011 0.000144 0.000035    0.987776  21.0
      Tweedie_1.7  -560.948399 -368.508562 288.474199  0.993132 3.324380e-03 0.000140 0.000025 0.995757 0.000166 0.000040    0.981977  24.0
      Tweedie_1.8  -428.028434 -364.461273 222.014217  0.977234 1.682178e-02 0.000230 0.000038 0.988544 0.000200 0.000049    0.952408  27.0
      Tweedie_1.9  -108.851797 -285.822518  62.425898  0.887621 1.472862e-01 0.000761 0.000146 0.874715 0.000641 0.000157    0.820149  30.0
Gaussian_Identity  -860.200029 -368.984081 438.100014  0.251209 3.800635e-06 0.001861 0.001010 0.251209 0.001972 0.001151 -113.183738  33.0
