            Model         AIC         BIC         LLF  PseudoR2  Dispersion     RMSE      MAE       R2  CV_RMSE   CV_MAE     CV_R2  Rank
     Gaussian_Log -627.119311 -368.980257  321.559656  0.998827    0.000050 0.006779 0.001994 0.998827 0.008292 0.002860  0.996230   3.0
      Tweedie_1.1        -inf -368.922496         inf  0.997866    0.000811 0.006922 0.001970 0.998777 0.008714 0.002949  0.995401   6.0
      Tweedie_1.2        -inf -368.880374         inf  0.997295    0.001359 0.007001 0.002019 0.998749 0.009080 0.003107  0.994906   9.0
      Tweedie_1.3        -inf -368.805716         inf  0.996573    0.002286 0.007101 0.002092 0.998713 0.009775 0.003365  0.994188  12.0
      Tweedie_1.4        -inf -368.673361         inf  0.995713    0.003827 0.007222 0.002202 0.998669 0.011006 0.003748  0.993098  15.0
      Tweedie_1.5 -163.697458 -368.438598   89.848729  0.994769    0.006347 0.007413 0.002375 0.998598 0.012978 0.004315  0.991338  18.0
      Tweedie_1.6 -154.751203 -368.006335   85.375601  0.993759    0.010467 0.007933 0.002640 0.998394 0.015869 0.005123  0.988288  21.0
      Tweedie_1.7 -131.241863 -366.951730   73.620932  0.991908    0.017717 0.009809 0.003157 0.997544 0.019598 0.006117  0.982792  24.0
      Tweedie_1.8   -7.450852 -360.660971   11.725426  0.981577    0.035989 0.019086 0.005488 0.990703 0.022654 0.006693  0.972199  27.0
      Tweedie_1.9  460.628109 -259.240339 -222.314054  0.897933    0.163894 0.081675 0.018845 0.829752 0.070935 0.020171  0.858974  30.0
Gaussian_Identity  -54.811506 -366.585186   35.405753  0.319655    0.029259 0.163272 0.091938 0.319655 0.174875 0.103947 -3.135669  33.0
