Model,AIC,BIC,LLF,PseudoR2,Dispersion,RMSE,MAE,R2,CV_RMSE,CV_MAE,CV_R2,Rank
Gaussian_Log,-1456.0499445205135,-368.98439255348706,736.0249722602567,0.9988271662394639,5.043837316730726e-09,6.779008940774615e-05,1.9939137634189625e-05,0.9988271662394639,8.291845476558471e-05,2.859849262572944e-05,0.9962295704065827,3.0
Tweedie_1.1,-inf,-368.98341195898223,inf,0.9978661158318004,1.285990429235724e-05,6.922214396896131e-05,1.9702676262148204e-05,0.998777091009091,8.714438920121096e-05,2.9494883402375535e-05,0.9954005956711885,6.0
Tweedie_1.2,-inf,-368.9817800526541,inf,0.9972951372889036,3.413216965696334e-05,7.00070390855666e-05,2.0186253228771627e-05,0.9987492011739361,9.079858287369144e-05,3.107484725726345e-05,0.9949059552855826,9.0
Tweedie_1.3,-inf,-368.97727808917244,inf,0.9965720176843174,9.10214524074575e-05,7.101207521816251e-05,2.0915746246689106e-05,0.9987130299084096,9.774982069123906e-05,3.3652693959297554e-05,0.9941877125028213,12.0
Tweedie_1.4,-inf,-368.9647378785937,inf,0.9957067128332359,0.00024159938145872024,7.221875330119744e-05,2.2021432000662684e-05,0.9986689204247265,0.00011004794022428036,3.747856904137593e-05,0.9930981319489035,15.0
Tweedie_1.5,-411.7273309085705,-368.9293084566109,213.86366545428524,0.9947201731396393,0.0006362337453105682,7.414102206943198e-05,2.3779101547655854e-05,0.9985971178711714,0.00012965588040115777,4.312107022776844e-05,0.991336781886268,18.0
Tweedie_1.6,-399.70528615313765,-368.82183691389696,207.85264307656882,0.9934549108046665,0.0016784859031031016,7.996232685825955e-05,2.661021839192297e-05,0.9983681700785564,0.00015781369349380064,5.099814302714911e-05,0.9882884351790366,21.0
Tweedie_1.7,-361.8667688721521,-368.37089251693345,188.93338443607604,0.9902773432627981,0.004665950609981707,0.00010614531229554725,3.286225432355664e-05,0.9971245509038295,0.00019087082161198244,5.975404933340033e-05,0.9827533061809536,24.0
Tweedie_1.8,-202.96545926636392,-364.339495421071,109.48272963318196,0.974175460029913,0.01656198270725956,0.0002455030844741022,6.812556728825542e-05,0.9846178177974372,0.0002252004007565428,7.018147648293403e-05,0.9687446748518255,27.0
Tweedie_1.9,198.24846079806397,-280.93345470142333,-91.12423039903199,0.8702110880355091,0.13585178626986222,0.000979186493005721,0.00022003444840901147,0.7552994904368757,0.0008440617432606927,0.00024101984185242168,0.8104314347728743,30.0
Gaussian_Identity,-883.7421397214217,-368.9841530464239,449.87106986071086,0.31965502815990565,2.925861680216801e-06,0.0016327232118212053,0.0009193777777777772,0.31965502815990576,0.0017487508619349972,0.00103947055221629,-3.1356686694641933,33.0
