            Model          AIC         BIC        LLF  PseudoR2   Dispersion     RMSE      MAE       R2  CV_RMSE   CV_MAE     CV_R2  Rank
     Gaussian_Log -1456.049945 -368.984393 736.024972  0.998827 5.043837e-09 0.000068 0.000020 0.998827 0.000083 0.000029  0.996230   3.0
      Tweedie_1.1         -inf -368.983412        inf  0.997866 1.285990e-05 0.000069 0.000020 0.998777 0.000087 0.000029  0.995401   6.0
      Tweedie_1.2         -inf -368.981780        inf  0.997295 3.413217e-05 0.000070 0.000020 0.998749 0.000091 0.000031  0.994906   9.0
      Tweedie_1.3         -inf -368.977278        inf  0.996572 9.102145e-05 0.000071 0.000021 0.998713 0.000098 0.000034  0.994188  12.0
      Tweedie_1.4         -inf -368.964738        inf  0.995707 2.415994e-04 0.000072 0.000022 0.998669 0.000110 0.000037  0.993098  15.0
      Tweedie_1.5  -411.727331 -368.929308 213.863665  0.994720 6.362337e-04 0.000074 0.000024 0.998597 0.000130 0.000043  0.991337  18.0
      Tweedie_1.6  -399.705286 -368.821837 207.852643  0.993455 1.678486e-03 0.000080 0.000027 0.998368 0.000158 0.000051  0.988288  21.0
      Tweedie_1.7  -361.866769 -368.370893 188.933384  0.990277 4.665951e-03 0.000106 0.000033 0.997125 0.000191 0.000060  0.982753  24.0
      Tweedie_1.8  -202.965459 -364.339495 109.482730  0.974175 1.656198e-02 0.000246 0.000068 0.984618 0.000225 0.000070  0.968745  27.0
      Tweedie_1.9   198.248461 -280.933455 -91.124230  0.870211 1.358518e-01 0.000979 0.000220 0.755299 0.000844 0.000241  0.810431  30.0
Gaussian_Identity  -883.742140 -368.984153 449.871070  0.319655 2.925862e-06 0.001633 0.000919 0.319655 0.001749 0.001039 -3.135669  33.0
