Setup,Environment,SPL_dB,variable,n,zero_yield_ratio,median,mad,iqr,min,max,ci_low,ci_high,cv
Integrated,Comm.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,80,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,90,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,100,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,80,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,90,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,100,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,80,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,90,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,100,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,80,DC_Current,3,0.0,1e-05,0.0,5.000000000000001e-06,1e-05,2e-05,1e-05,2e-05,0.43301270189221935
Standalone,Comm.,90,DC_Current,3,0.0,2e-05,0.0,4.9999999999999996e-06,2e-05,3e-05,2e-05,3e-05,0.2474358296526967
Standalone,Comm.,100,DC_Current,3,0.0,0.00192,0.0,5.5000000000000144e-05,0.00192,0.00203,0.00192,0.00203,0.03245751087437421
Standalone,Ind.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Ind.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Ind.,80,DC_Current,3,0.0,1e-05,0.0,1e-05,1e-05,3e-05,1e-05,3e-05,0.6928203230275509
Standalone,Ind.,90,DC_Current,3,0.0,0.00047,3.0000000000000024e-05,0.00010499999999999995,0.00029,0.0005,0.00029,0.0005,0.2704242069428701
Standalone,Ind.,100,DC_Current,3,0.0,0.01099,0.00033000000000000043,0.00041500000000000044,0.01049,0.01132,0.01049,0.01132,0.038221786552716026
Standalone,Traf.,60,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Traf.,70,DC_Current,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Traf.,80,DC_Current,3,0.0,1e-05,0.0,0.0,1e-05,1e-05,1e-05,1e-05,0.0
Standalone,Traf.,90,DC_Current,3,0.0,2e-05,0.0,0.0,2e-05,2e-05,2e-05,2e-05,0.0
Standalone,Traf.,100,DC_Current,3,0.0,0.00064,0.0,8.999999999999991e-05,0.00064,0.00082,0.00064,0.00082,0.14846149779161802
Integrated,Comm.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,80,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,90,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,100,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,80,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,90,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,100,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,80,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,90,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,100,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,80,DC_Power,3,0.0,1e-08,0.0,1.5e-08,1e-08,4e-08,1e-08,4e-08,0.8660254037844386
Standalone,Comm.,90,DC_Power,3,0.0,4e-08,0.0,2.5e-08,4e-08,9e-08,4e-08,9e-08,0.5094267081084933
Standalone,Comm.,100,DC_Power,3,0.0,0.00036864,0.0,2.1725e-05,0.00036864,0.00041209,0.00036864,0.00041209,0.06547726805890855
Standalone,Ind.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Ind.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Ind.,80,DC_Power,3,0.0,1e-08,0.0,4e-08,1e-08,9e-08,1e-08,9e-08,1.2596733145955472
Standalone,Ind.,90,DC_Power,3,0.0,2.209e-05,2.910000000000001e-06,8.294999999999998e-06,8.41e-06,2.5e-05,8.41e-06,2.5e-05,0.47883807505077797
Standalone,Ind.,100,DC_Power,3,0.0,0.01207801,0.0007362299999999992,0.000905114999999998,0.01100401,0.01281424,0.01100401,0.01281424,0.07608189928854223
Standalone,Traf.,60,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Traf.,70,DC_Power,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Traf.,80,DC_Power,3,0.0,1e-08,0.0,0.0,1e-08,1e-08,1e-08,1e-08,2.026170425877747e-16
Standalone,Traf.,90,DC_Power,3,0.0,4e-08,0.0,0.0,4e-08,4e-08,4e-08,4e-08,2.026170425877747e-16
Standalone,Traf.,100,DC_Power,3,0.0,4.096e-05,0.0,1.0889999999999999e-05,4.096e-05,6.274e-05,4.096e-05,6.274e-05,0.26077745464433943
Integrated,Comm.,60,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,70,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,80,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,90,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Comm.,100,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,60,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,70,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,80,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,90,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Ind.,100,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,60,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,70,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,80,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,90,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Integrated,Traf.,100,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,60,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,70,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Comm.,80,DC_Voltage,3,0.0,0.001,0.0,0.0005,0.001,0.002,0.001,0.002,0.43301270189221935
Standalone,Comm.,90,DC_Voltage,3,0.0,0.002,0.0,0.0005,0.002,0.003,0.002,0.003,0.24743582965269675
Standalone,Comm.,100,DC_Voltage,3,0.0,0.192,0.0,0.005500000000000005,0.192,0.203,0.192,0.203,0.03245751087437422
Standalone,Ind.,60,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Standalone,Ind.,70,DC_Voltage,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
