Table 5
Descriptive Statistics by Condition
================================================================================================================================================
Setup       Environment  SPL_dB  variable    n  zero_yield_ratio  median    mad       iqr       min       max       ci_low    ci_high   cv      
------------------------------------------------------------------------------------------------------------------------------------------------
Integrated  Comm.        60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        80      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        90      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        100     DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         80      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         90      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         100     DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        80      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        90      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Traf.        100     DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Comm.        80      DC_Current  3  0.000             1e-05     0.000     5e-06     1e-05     2e-05     1e-05     2e-05     0.433   
Standalone  Comm.        90      DC_Current  3  0.000             2e-05     0.000     5e-06     2e-05     3e-05     2e-05     3e-05     0.247   
Standalone  Comm.        100     DC_Current  3  0.000             0.002     0.000     5.5e-05   0.002     0.002     0.002     0.002     0.032   
Standalone  Ind.         60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Ind.         70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Ind.         80      DC_Current  3  0.000             1e-05     0.000     1e-05     1e-05     3e-05     1e-05     3e-05     0.693   
Standalone  Ind.         90      DC_Current  3  0.000             0.00047   3e-05     0.000105  0.00029   0.0005    0.00029   0.0005    0.270   
Standalone  Ind.         100     DC_Current  3  0.000             0.011     0.00033   0.000415  0.010     0.011     0.010     0.011     0.038   
Standalone  Traf.        60      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        70      DC_Current  3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Standalone  Traf.        80      DC_Current  3  0.000             1e-05     0.000     0.000     1e-05     1e-05     1e-05     1e-05     0.000   
Standalone  Traf.        90      DC_Current  3  0.000             2e-05     0.000     0.000     2e-05     2e-05     2e-05     2e-05     0.000   
Standalone  Traf.        100     DC_Current  3  0.000             0.00064   0.000     9e-05     0.00064   0.00082   0.00064   0.00082   0.148   
Integrated  Comm.        60      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        70      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        80      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        90      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Comm.        100     DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         60      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         70      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         80      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
Integrated  Ind.         90      DC_Power    3  1.000             0.000     0.000     0.000     0.000     0.000     0.000     0.000     NaN     
