SPL_dB,mean_rank,n,variable,scope,factor,Environment,group1,group2,z_statistic,p_raw,p_adjusted
60.0,9.5,9.0,DC_Voltage,Standalone,SPL_dB,,,,,,
70.0,9.5,9.0,DC_Voltage,Standalone,SPL_dB,,,,,,
80.0,23.88888888888889,9.0,DC_Voltage,Standalone,SPL_dB,,,,,,
90.0,31.11111111111111,9.0,DC_Voltage,Standalone,SPL_dB,,,,,,
100.0,41.0,9.0,DC_Voltage,Standalone,SPL_dB,,,,,,
,24.7,15.0,DC_Voltage,Standalone,Environment,Ind.,,,,,
,21.5,15.0,DC_Voltage,Standalone,Environment,Traf.,,,,,
,22.8,15.0,DC_Voltage,Standalone,Environment,Comm.,,,,,
,,,DC_Voltage,,SPL_dB,,60,70,0.0,1.0,1.0
,,,DC_Voltage,,SPL_dB,,60,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Voltage,,SPL_dB,,60,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Voltage,,SPL_dB,,60,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Voltage,,SPL_dB,,70,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Voltage,,SPL_dB,,70,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Voltage,,SPL_dB,,70,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Voltage,,SPL_dB,,80,90,-1.2096151924312122,0.22642658574517105,0.4528531714903421
,,,DC_Voltage,,SPL_dB,,80,100,-2.865857532837026,0.004158813594171836,0.024952881565031015
,,,DC_Voltage,,SPL_dB,,90,100,-1.656242340405814,0.09767275198561054,0.2930182559568316
,,,DC_Voltage,,Environment,,Ind.,Traf.,0.6919118024278987,0.4889927182995014,1.0
,,,DC_Voltage,,Environment,,Ind.,Comm.,0.41082263269156466,0.681202596195038,1.0
,,,DC_Voltage,,Environment,,Traf.,Comm.,-0.2810891697363341,0.7786420077316727,1.0
60.0,9.5,9.0,DC_Current,Standalone,SPL_dB,,,,,,
70.0,9.5,9.0,DC_Current,Standalone,SPL_dB,,,,,,
80.0,23.88888888888889,9.0,DC_Current,Standalone,SPL_dB,,,,,,
90.0,31.11111111111111,9.0,DC_Current,Standalone,SPL_dB,,,,,,
100.0,41.0,9.0,DC_Current,Standalone,SPL_dB,,,,,,
,24.7,15.0,DC_Current,Standalone,Environment,Ind.,,,,,
,21.5,15.0,DC_Current,Standalone,Environment,Traf.,,,,,
,22.8,15.0,DC_Current,Standalone,Environment,Comm.,,,,,
,,,DC_Current,,SPL_dB,,60,70,0.0,1.0,1.0
,,,DC_Current,,SPL_dB,,60,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Current,,SPL_dB,,60,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Current,,SPL_dB,,60,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Current,,SPL_dB,,70,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Current,,SPL_dB,,70,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Current,,SPL_dB,,70,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Current,,SPL_dB,,80,90,-1.2096151924312122,0.22642658574517105,0.4528531714903421
,,,DC_Current,,SPL_dB,,80,100,-2.865857532837026,0.004158813594171836,0.024952881565031015
,,,DC_Current,,SPL_dB,,90,100,-1.656242340405814,0.09767275198561054,0.2930182559568316
,,,DC_Current,,Environment,,Ind.,Traf.,0.6919118024278987,0.4889927182995014,1.0
,,,DC_Current,,Environment,,Ind.,Comm.,0.41082263269156466,0.681202596195038,1.0
,,,DC_Current,,Environment,,Traf.,Comm.,-0.2810891697363341,0.7786420077316727,1.0
60.0,9.5,9.0,DC_Power,Standalone,SPL_dB,,,,,,
70.0,9.5,9.0,DC_Power,Standalone,SPL_dB,,,,,,
80.0,23.88888888888889,9.0,DC_Power,Standalone,SPL_dB,,,,,,
90.0,31.11111111111111,9.0,DC_Power,Standalone,SPL_dB,,,,,,
100.0,41.0,9.0,DC_Power,Standalone,SPL_dB,,,,,,
,24.7,15.0,DC_Power,Standalone,Environment,Ind.,,,,,
,21.5,15.0,DC_Power,Standalone,Environment,Traf.,,,,,
,22.8,15.0,DC_Power,Standalone,Environment,Comm.,,,,,
,,,DC_Power,,SPL_dB,,60,70,0.0,1.0,1.0
,,,DC_Power,,SPL_dB,,60,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Power,,SPL_dB,,60,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Power,,SPL_dB,,60,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Power,,SPL_dB,,70,80,-2.4099256526129538,0.015955771632404442,0.07977885816202221
,,,DC_Power,,SPL_dB,,70,90,-3.619540845044166,0.00029512622576846094,0.0023610098061476875
,,,DC_Power,,SPL_dB,,70,100,-5.27578318544998,1.3219030431139132e-07,1.3219030431139131e-06
,,,DC_Power,,SPL_dB,,80,90,-1.2096151924312122,0.22642658574517105,0.4528531714903421
,,,DC_Power,,SPL_dB,,80,100,-2.865857532837026,0.004158813594171836,0.024952881565031015
,,,DC_Power,,SPL_dB,,90,100,-1.656242340405814,0.09767275198561054,0.2930182559568316
,,,DC_Power,,Environment,,Ind.,Traf.,0.6919118024278987,0.4889927182995014,1.0
,,,DC_Power,,Environment,,Ind.,Comm.,0.41082263269156466,0.681202596195038,1.0
