Table 8
Dunn Post Hoc Comparisons
=============================================================================================================================
SPL_dB   mean_rank  n       variable    scope       factor       Environment  group1  group2  z_statistic  p_raw   p_adjusted
-----------------------------------------------------------------------------------------------------------------------------
60.000   9.500      9.000   DC_Voltage  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
70.000   9.500      9.000   DC_Voltage  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
80.000   23.889     9.000   DC_Voltage  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
90.000   31.111     9.000   DC_Voltage  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
100.000  41.000     9.000   DC_Voltage  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
NaN      24.700     15.000  DC_Voltage  Standalone  Environment  Ind.         NaN     NaN     NaN          NaN     NaN       
NaN      21.500     15.000  DC_Voltage  Standalone  Environment  Traf.        NaN     NaN     NaN          NaN     NaN       
NaN      22.800     15.000  DC_Voltage  Standalone  Environment  Comm.        NaN     NaN     NaN          NaN     NaN       
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          60      70      0.000        1.000   1.000     
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          60      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          60      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          60      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          70      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          70      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          70      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          80      90      -1.210       .226    .453      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          80      100     -2.866       .004    .025      
NaN      NaN        NaN     DC_Voltage  NaN         SPL_dB       NaN          90      100     -1.656       .098    .293      
NaN      NaN        NaN     DC_Voltage  NaN         Environment  NaN          Ind.    Traf.   0.692        .489    1.000     
NaN      NaN        NaN     DC_Voltage  NaN         Environment  NaN          Ind.    Comm.   0.411        .681    1.000     
NaN      NaN        NaN     DC_Voltage  NaN         Environment  NaN          Traf.   Comm.   -0.281       .779    1.000     
60.000   9.500      9.000   DC_Current  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
70.000   9.500      9.000   DC_Current  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
80.000   23.889     9.000   DC_Current  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
90.000   31.111     9.000   DC_Current  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
100.000  41.000     9.000   DC_Current  Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
NaN      24.700     15.000  DC_Current  Standalone  Environment  Ind.         NaN     NaN     NaN          NaN     NaN       
NaN      21.500     15.000  DC_Current  Standalone  Environment  Traf.        NaN     NaN     NaN          NaN     NaN       
NaN      22.800     15.000  DC_Current  Standalone  Environment  Comm.        NaN     NaN     NaN          NaN     NaN       
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          60      70      0.000        1.000   1.000     
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          60      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          60      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          60      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          70      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          70      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          70      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          80      90      -1.210       .226    .453      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          80      100     -2.866       .004    .025      
NaN      NaN        NaN     DC_Current  NaN         SPL_dB       NaN          90      100     -1.656       .098    .293      
NaN      NaN        NaN     DC_Current  NaN         Environment  NaN          Ind.    Traf.   0.692        .489    1.000     
NaN      NaN        NaN     DC_Current  NaN         Environment  NaN          Ind.    Comm.   0.411        .681    1.000     
NaN      NaN        NaN     DC_Current  NaN         Environment  NaN          Traf.   Comm.   -0.281       .779    1.000     
60.000   9.500      9.000   DC_Power    Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
70.000   9.500      9.000   DC_Power    Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
80.000   23.889     9.000   DC_Power    Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
90.000   31.111     9.000   DC_Power    Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
100.000  41.000     9.000   DC_Power    Standalone  SPL_dB       NaN          NaN     NaN     NaN          NaN     NaN       
NaN      24.700     15.000  DC_Power    Standalone  Environment  Ind.         NaN     NaN     NaN          NaN     NaN       
NaN      21.500     15.000  DC_Power    Standalone  Environment  Traf.        NaN     NaN     NaN          NaN     NaN       
NaN      22.800     15.000  DC_Power    Standalone  Environment  Comm.        NaN     NaN     NaN          NaN     NaN       
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          60      70      0.000        1.000   1.000     
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          60      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          60      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          60      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          70      80      -2.410       .016    .080      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          70      90      -3.620       < .001  .002      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          70      100     -5.276       < .001  < .001    
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          80      90      -1.210       .226    .453      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          80      100     -2.866       .004    .025      
NaN      NaN        NaN     DC_Power    NaN         SPL_dB       NaN          90      100     -1.656       .098    .293      
NaN      NaN        NaN     DC_Power    NaN         Environment  NaN          Ind.    Traf.   0.692        .489    1.000     
NaN      NaN        NaN     DC_Power    NaN         Environment  NaN          Ind.    Comm.   0.411        .681    1.000     
NaN      NaN        NaN     DC_Power    NaN         Environment  NaN          Traf.   Comm.   -0.281       .779    1.000     
=============================================================================================================================
